id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG34296,"Ross Grant, Tenderfoot","Garland, John",,,['en'],56,"{'Medical students -- Juvenile fiction', 'Mines and mineral resources -- Juvenile fiction'}",
PG34297,Angela's Business,"Harrison, Henry Sydnor",1880.0,1930.0,['en'],15,{'Fiction'},
PG3429,St. George for England,"Henty, G. A. (George Alfred)",1832.0,1902.0,['en'],41,"{'Great Britain -- History -- Edward III, 1327-1377 -- Fiction'}",
PG34305,Luxury--Gluttony: Two of the Seven Cardinal Sins,"Sue, Eugène",1804.0,1857.0,['en'],18,{'French fiction -- Translations into English'},
PG34306,"Fighting in Cuban Waters; Or, Under Schley on the Brooklyn","Stratemeyer, Edward",1862.0,1930.0,['en'],17,"{'Spanish-American War, 1898 -- Campaigns -- Cuba -- Juvenile Fiction'}",
PG34308,Avarice--Anger: Two of the Seven Cardinal Sins,"Sue, Eugène",1804.0,1857.0,['en'],26,{'French fiction -- Translations into English'},
PG3430,The Suitors of Yvonne: being a portion of the memoirs of the Sieur Gaston de Luynes,"Sabatini, Rafael",1875.0,1950.0,['en'],40,"{'Adventure stories', 'France -- History -- 17th century -- Fiction', 'Mazarin, Jules, 1602-1661 -- Fiction', 'Love stories', 'Cardinals -- France -- Fiction', 'Historical fiction', 'France -- History -- Louis XIV, 1643-1715 -- Fiction'}",
PG34317,Caribbee,"Hoover, Thomas",1941.0,,['en'],56,"{'Historical fiction', 'Barbados -- Fiction', 'Caribbean Area -- Fiction'}",
PG34318,Life Blood,"Hoover, Thomas",1941.0,,['en'],104,"{'Horror tales', 'Human experimentation in medicine -- Fiction', 'Suspense fiction', 'Central America -- Fiction', 'Adoption -- Corrupt practices -- Fiction'}",
PG34319,Project Cyclops,"Hoover, Thomas",1941.0,,['en'],96,"{'Aegean Sea -- Fiction', 'Laser weapons -- Fiction', 'Nuclear warfare -- Fiction', 'Suspense fiction'}",
PG3431,The Gadfly,"Voynich, E. L. (Ethel Lillian)",1864.0,1960.0,['en'],194,"{'Italy -- History -- Revolution of 1848 -- Fiction', 'Revolutionaries -- Fiction', 'Italy -- History -- 1815-1870 -- Fiction'}",
PG34320,Project Daedalus,"Hoover, Thomas",1941.0,,['en'],73,{'Suspense fiction'},
PG34321,Syndrome,"Hoover, Thomas",1941.0,,['en'],75,"{'Suspense fiction', 'Human experimentation in medicine -- Fiction'}",
PG34322,The Moghul,"Hoover, Thomas",1941.0,,['en'],53,"{'East India Company -- Fiction', 'Historical fiction', 'India -- History -- 1526-1765 -- Fiction'}",
PG34323,The Samurai Strategy,"Hoover, Thomas",1941.0,,['en'],110,{'Mystery fiction'},
PG34333,Captain Ted: A Boy's Adventures Among Hiding Slackers in the Great Georgia Swamp,"Pendleton, Louis",1861.0,1939.0,['en'],15,"{'Boy Scouts -- Juvenile fiction', 'World War, 1914-1918 -- United States -- Juvenile fiction', 'Okefenokee Swamp (Ga. and Fla.) -- Juvenile fiction'}",
PG34335,The William Henry Letters,"Diaz, Abby Morton",1821.0,1904.0,['en'],32,"{'Aunts -- Juvenile fiction', 'Family -- Juvenile fiction', 'Boys -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Death -- Juvenile fiction', 'Students -- Juvenile fiction', 'Boarding schools -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Grandmothers -- Juvenile fiction'}",
PG34338,Monsieur Cherami,"Kock, Paul de",1793.0,1871.0,['en'],15,{'French fiction -- Translations into English'},
PG34339,The Princess and the Goblin,"MacDonald, George",1824.0,1905.0,['en'],329,"{'Fairy tales', 'Princesses -- Juvenile fiction', 'Fantasy literature', ""Children's stories"", 'Goblins -- Juvenile fiction'}",
PG34345,Pride: One of the Seven Cardinal Sins,"Sue, Eugène",1804.0,1857.0,['en'],12,{'French fiction -- Translations into English'},
PG34347,"Dave Porter in the South Seas; or, The Strange Cruise of the Stormy Petrel","Stratemeyer, Edward",1862.0,1930.0,['en'],49,"{'Mystery and detective stories', 'Missing persons -- Juvenile fiction', 'Oceania -- Juvenile fiction', 'Sea stories', 'Ocean travel -- Juvenile fiction', 'Father and child -- Juvenile fiction'}",
PG34355,"Marching on Niagara; Or, The Soldier Boys of the Old Frontier","Stratemeyer, Edward",1862.0,1930.0,['en'],10,"{'Forbes Expedition against Fort Duquesne, Pa., 1758 -- Juvenile fiction', 'Forbes, John, 1710-1759 -- Juvenile fiction', 'War stories', 'United States -- History -- French and Indian War, 1754-1763 -- Juvenile fiction'}",
