;author;title;year;avgsentlen
PG13576;Hendrik+Conscience;Poor+Gentleman;1858;24.922955145118735
PG38144;Harold+Bindloss;Mistress+Bonaventure;1900;25.37089920108788
PG7717;Edward+Lytton;Last+Barons;1848;27.27360988526037
PG29542;Poul+Anderson;Valor+Cappen;1957;17.26086956521739
PG23188;William+Kingston;Michael+Penguyne;1870;27.409180327868853
PG36360;Mrs+Simpson;Faithful+Margaret;1900;22.937193326790972
PG5999;Walter+Scott;Mannering+Astrologer;1815;30.3177304964539
PG65947;Tuttle;Color+Boots;1936;14.931564245810057
PG768;Emily+Brontë;Wuthering+Heights;1843;23.066646919431278
PG46852;Richard+Maher;Hills+Desire;1930;20.593302400645552
PG23357;Thomas+Aldrich;Miss+Mehetabel;1877;24.06937799043062
PG6692;Lucy+Aikin;Swiss+Family;1800;30.589473684210525
PG43925;Gustave+Aimard;Prairie+Flower;1862;23.564631956912027
PG26882;Lowell+Morrow;Omega;1957;21.52469135802469
PG3671;Charles+Reade;Christie+Johnstone;1859;20.406908665105387
PG34466;Jim+Kjelgaard;Rescue+High;1944;18.264927536231884
PG3953;Alfred+Vigny;Cinq+Mars;1829;24.450139275766016
PG64636;Washington+Irving;Winkle;1831;36.81203007518797
PG29418;Frank+Long;from+Time;1958;19.245664739884393
PG55305;Fergus+Hume;Black+Patch;1906;17.863651050080776
PG6765;Jacobsen;Mogens+Other;1876;26.439349112426036
PG888;Wilkie+Collins;Lazy+Tour;1866;28.572263549415517
PG65616;James+Grant;Master+Aberfeldie;1884;33.495586380832286
PG22843;Mary+Mitford;Aunt+Deborah;1800;44.656565656565654
PG55415;Don+Palmer;Scout+Explorers;1955;13.893622028712638
PG59619;;Beyond+Black;1867;19.74389282899921
PG42227;Robert+Howard;Witch+Shall;1931;18.869603524229074
PG28486;Everett+Cole;Weakling;1958;15.147540983606557
PG41196;Mary+Brunton;Self+control;1811;30.68890622967876
PG23564;William+Ainsworth;Rookwood;1834;20.19992455677103
PG2763;Andrew+Lang;World+Desire;1888;26.082560076136094
PG53213;Josephine+Chase;Marjorie+Dean;1818;16.2890756302521
PG6781;Friedrich+Schiller;Ghost+Seer;1800;23.97613065326633
PG65926;Hope+Mirrlees;Madeleine+Love;1919;25.9489069649212
PG31004;Samuel+Warren;Thousand+Year;1852;30.811990270424953
PG41594;Frederick+Gibbon;Disputed+Tale;1904;21.02041800643087
PG33591;Horatio+Alger;Wait+Hope;1876;14.941533618169553
PG27981;Mayne+Reid;Plant+Hunters;1858;27.394488759970994
PG5355;Walter+Scott;Mannering+Astrologer;1815;30.34810294507827
PG23644;Josephine+Chase;Marjorie+Dean;1818;18.882243487506646
PG35526;Madeline+Leslie;Cora+Doctor;1855;23.524233432245303
PG44185;Theodore+Roberts;Fighting+Starkleys;1922;18.678586453512832
PG57000;Sayler;Aeronauts+Club;1910;18.635378031383738
PG10005;George+Tucker;Voyage+Moon;1828;41.14331797235023
PG38865;Lewis+Wingfield;Maid+Honour;1876;19.545101088646966
