;author;year;avgsentlen
PG48630;Carroll;1865;19.210070810385524
PG2636;Sabatini;1912;22.921201716738196
PG65528;Harbaugh;1886;20.221693625118935
PG52606;Fraser;1868;21.161955241460543
PG60241;Benson;1904;21.75013477088949
PG50318;Serao;1892;19.600290697674417
PG21322;Bailey;1913;15.855624446412754
PG37576;Fuller;1896;18.96900525903547
PG14187;Michaëlis;1911;19.99685534591195
PG35928;Bain;1902;31.702729044834307
PG6290;Parker;1897;22.035113386978786
PG16097;Bangs;1892;23.10241893978384
PG51921;Hergesheimer;1917;23.868785046728973
PG3147;Wiggin;1890;26.077486910994764
PG5447;Ebers;1868;30.91264667535854
PG2787;Alcott;1860;27.737905695039803
PG5527;Ebers;1868;26.729763387297634
PG12201;Jacobs;1903;27.744588744588743
PG16308;Murray;1872;28.99794801641587
PG12199;Catherwood;1874;20.12723373838456
PG55709;Stacpoole;1907;23.382694023193576
PG26620;Leslie;1854;26.705544933078393
PG5175;Haggard;1890;23.784209085933224
PG50273;Clouston;1907;18.9540925962102
PG4428;Meredith;1868;20.870349492671927
PG28680;Trowbridge;1872;19.15191873589165
PG1622;Collins;1856;18.135164725788794
PG1881;Grey;1906;16.195871097683785
PG22063;Service;1916;15.55435294117647
PG42119;Aimard;1850;22.493995456020773
PG765;Merritt;1914;20.05241630056052
PG51319;Roy;1900;20.055279014933195
PG26256;Curtis;1909;22.103302286198137
PG25164;Reid;1850;21.431562193927522
PG29616;Stoddard;1880;23.280479896238653
PG40882;Eliot;1850;28.77183446571958
PG32520;Richards;1896;16.76491310474401
PG18652;Bailey;1913;15.02883865939205
PG45507;Patchin;1893;15.801643192488262
PG4707;Curwood;1902;18.256814641744548
PG12122;Jacobs;1903;18.4281045751634
PG33425;Barbour;1907;17.968676443961616
PG51497;Blackmore;1862;30.91301809690601
